Segment,Country, Product , Discount Band , Units Sold , Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year,Market Cap,Sales,Net Income,Total Revenue,Gross Profit,Operating Income,Net Profit,Total Assets,Total Liabilities,Shareholder Equity,Earnings Per Share (EPS),Price per Share,Total Debt,Interest Expense,Cash,Current Liabilities,Current Assets,Quick Assets,Debt Equity Ratio,Debt Ratio,Interest Coverage Ratio (ICR),Debt Service Coverage Ratio (DSCR),Dividend per Share,Book Value per Share (BVPS),Operating Cash Flow,Free Cash Flow,Capital Expenditures (CapEx),Depreciation & Amortization,Total Debt Service,Earnings Growth Rate (%),Price to Sales Ratio,Profit Margin Ratio,Current Ratio,Quick Ratio,Cash Ratio,Debt to Equity Ratio,D/C Ratio,Total Asset Turnover,P/E Ratio,Gross Profit Margin,Operating Profit Margin,Net Profit Margin,ROI,EBIT,EBITDA,ROE,ROCE,ROA,DSCR,PEG Ratio,PB Ratio
Government,Canada, Carretera , None ," $1,618.50 ", $3.00 , $20.00 ," $32,370.00 ", $-   ," $32,370.00 "," $16,185.00 "," $16,185.00 ",01-01-2014,1, January ,2014,451932000000.0,32370.0,57741765.6,169401484.1,21650268.98,56301261.1,57741765.6,26822106092.0,2007072058,2106298669.0,23.10638937,189.6204616,9095079532.0,7893296.385,960953087.8,14264413.47,9802913702.0,8514073074.0,2.801808066,0.3390889403242168,7.132794507373614,3.654683101,5.704228576,71.87123253,813321594.6,519642252.2,53375803.29,,,,13961445.78313253,178380.49304911957,687.2286563073104,596.8750900207887,67.36716443483742,4.318038873526914,0.8119607577564018,1.2068403535863547e-06,8.206408130826023,66883.74723509423,173930.37102255176,178380.49304911957,0.21527677730430772,56301261.1,56301261.1,2.741385466830013,0.21001788124215479,0.21527677730430772,,1.6412816261652048,214.56216378589946
Government,Germany, Carretera , None ," $1,321.00 ", $3.00 , $20.00 ," $26,420.00 ", $-   ," $26,420.00 "," $13,210.00 "," $13,210.00 ",01-01-2014,1, January ,2014,451932000000.0,26420.0,57741765.6,169401484.1,21650268.98,56301261.1,57741765.6,26822106092.0,2007072058,2106298669.0,23.10638937,189.6204616,9095079532.0,7893296.385,960953087.8,14264413.47,9802913702.0,8514073074.0,2.801808066,0.3390889403242168,7.132794507373614,3.654683101,5.704228576,71.87123253,813321594.6,519642252.2,53375803.29,,,,17105677.517032553,218553.2384557154,687.2286563073104,596.8750900207887,67.36716443483742,4.318038873526914,0.8119607577564018,9.850084072212386e-07,8.206408130826023,81946.51392884178,213100.91256623768,218553.2384557154,0.21527677730430772,56301261.1,56301261.1,2.741385466830013,0.21001788124215479,0.21527677730430772,,1.6412816261652048,214.56216378589946
Midmarket,France, Carretera , None ," $2,178.00 ", $3.00 , $15.00 ," $32,670.00 ", $-   ," $32,670.00 "," $21,780.00 "," $10,890.00 ",01-06-2014,6, June ,2014,451932000000.0,32670.0,57741765.6,169401484.1,21650268.98,56301261.1,57741765.6,26822106092.0,2007072058,2106298669.0,23.10638937,189.6204616,9095079532.0,7893296.385,960953087.8,14264413.47,9802913702.0,8514073074.0,2.801808066,0.3390889403242168,7.132794507373614,3.654683101,5.704228576,71.87123253,813321594.6,519642252.2,53375803.29,,,,13833241.50596878,176742.4719926538,687.2286563073104,596.8750900207887,67.36716443483742,4.318038873526914,0.8119607577564018,1.218025157604764e-06,8.206408130826023,66269.57141108051,172333.21426385065,176742.4719926538,0.21527677730430772,56301261.1,56301261.1,2.741385466830013,0.21001788124215479,0.21527677730430772,,1.6412816261652048,214.56216378589946
Midmarket,Germany, Carretera , None , $888.00 , $3.00 , $15.00 ," $13,320.00 ", $-   ," $13,320.00 "," $8,880.00 "," $4,440.00 ",01-06-2014,6, June ,2014,451932000000.0,13320.0,57741765.6,169401484.1,21650268.98,56301261.1,57741765.6,26822106092.0,2007072058,2106298669.0,23.10638937,189.6204616,9095079532.0,7893296.385,960953087.8,14264413.47,9802913702.0,8514073074.0,2.801808066,0.3390889403242168,7.132794507373614,3.654683101,5.704228576,71.87123253,813321594.6,519642252.2,53375803.29,,,,33928828.82882883,433496.7387387387,687.2286563073104,596.8750900207887,67.36716443483742,4.318038873526914,0.8119607577564018,4.966052984173693e-07,8.206408130826023,162539.55690690692,422682.1403903904,433496.7387387387,0.21527677730430772,56301261.1,56301261.1,2.741385466830013,0.21001788124215479,0.21527677730430772,,1.6412816261652048,214.56216378589946
Midmarket,Mexico, Carretera , None ," $2,470.00 ", $3.00 , $15.00 ," $37,050.00 ", $-   ," $37,050.00 "," $24,700.00 "," $12,350.00 ",01-06-2014,6, June ,2014,451932000000.0,37050.0,57741765.6,169401484.1,21650268.98,56301261.1,57741765.6,26822106092.0,2007072058,2106298669.0,23.10638937,189.6204616,9095079532.0,7893296.385,960953087.8,14264413.47,9802913702.0,8514073074.0,2.801808066,0.3390889403242168,7.132794507373614,3.654683101,5.704228576,71.87123253,813321594.6,519642252.2,53375803.29,,,,12197894.736842105,155848.22024291498,687.2286563073104,596.8750900207887,67.36716443483742,4.318038873526914,0.8119607577564018,1.3813232962735385e-06,8.206408130826023,58435.27390013495,151960.2188933873,155848.22024291498,0.21527677730430772,56301261.1,56301261.1,2.741385466830013,0.21001788124215479,0.21527677730430772,,1.6412816261652048,214.56216378589946
Government,Germany, Carretera , None ," $1,513.00 ", $3.00 , $350.00 ," $5,29,550.00 ", $-   ," $5,29,550.00 "," $3,93,380.00 "," $1,36,170.00 ",01-12-2014,12, December ,2014,451932000000.0,529550.0,57741765.6,169401484.1,21650268.98,56301261.1,57741765.6,26822106092.0,2007072058,2106298669.0,23.10638937,189.6204616,9095079532.0,7893296.385,960953087.8,14264413.47,9802913702.0,8514073074.0,2.801808066,0.3390889403242168,7.132794507373614,3.654683101,5.704228576,71.87123253,813321594.6,519642252.2,53375803.29,,,,853426.4941931829,10903.930809177604,687.2286563073104,596.8750900207887,67.36716443483742,4.318038873526914,0.8119607577564018,1.974304322649534e-05,8.206408130826023,4088.4277178736666,10631.906543291474,10903.930809177604,0.21527677730430772,56301261.1,56301261.1,2.741385466830013,0.21001788124215479,0.21527677730430772,,1.6412816261652048,214.56216378589946
Midmarket,Germany, Montana , None , $921.00 , $5.00 , $15.00 ," $13,815.00 ", $-   ," $13,815.00 "," $9,210.00 "," $4,605.00 ",01-03-2014,3, March ,2014,451932000000.0,13815.0,57741765.6,169401484.1,21650268.98,56301261.1,57741765.6,26822106092.0,2007072058,2106298669.0,23.10638937,189.6204616,9095079532.0,7893296.385,960953087.8,14264413.47,9802913702.0,8514073074.0,2.801808066,0.3390889403242168,7.132794507373614,3.654683101,5.704228576,71.87123253,813321594.6,519642252.2,53375803.29,,,,32713137.89359392,417964.28230184584,687.2286563073104,596.8750900207887,67.36716443483742,4.318038873526914,0.8119607577564018,5.150602250477446e-07,8.206408130826023,156715.66398841838,407537.1777053927,417964.28230184584,0.21527677730430772,56301261.1,56301261.1,2.741385466830013,0.21001788124215479,0.21527677730430772,,1.6412816261652048,214.56216378589946
Channel Partners,Canada, Montana , None ," $2,518.00 ", $5.00 , $12.00 ," $30,216.00 ", $-   ," $30,216.00 "," $7,554.00 "," $22,662.00 ",01-06-2014,6, June ,2014,451932000000.0,30216.0,57741765.6,169401484.1,21650268.98,56301261.1,57741765.6,26822106092.0,2007072058,2106298669.0,23.10638937,189.6204616,9095079532.0,7893296.385,960953087.8,14264413.47,9802913702.0,8514073074.0,2.801808066,0.3390889403242168,7.132794507373614,3.654683101,5.704228576,71.87123253,813321594.6,519642252.2,53375803.29,,,,14956711.675933281,191096.656076251,687.2286563073104,596.8750900207887,67.36716443483742,4.318038873526914,0.8119607577564018,1.1265334607341766e-06,8.206408130826023,71651.67123378343,186329.2993778131,191096.656076251,0.21527677730430772,56301261.1,56301261.1,2.741385466830013,0.21001788124215479,0.21527677730430772,,1.6412816261652048,214.56216378589946
Government,France, Montana , None ," $1,899.00 ", $5.00 , $20.00 ," $37,980.00 ", $-   ," $37,980.00 "," $18,990.00 "," $18,990.00 ",01-06-2014,6, June ,2014,451932000000.0,37980.0,57741765.6,169401484.1,21650268.98,56301261.1,57741765.6,26822106092.0,2007072058,2106298669.0,23.10638937,189.6204616,9095079532.0,7893296.385,960953087.8,14264413.47,9802913702.0,8514073074.0,2.801808066,0.3390889403242168,7.132794507373614,3.654683101,5.704228576,71.87123253,813321594.6,519642252.2,53375803.29,,,,11899210.110584518,152032.03159557664,687.2286563073104,596.8750900207887,67.36716443483742,4.318038873526914,0.8119607577564018,1.4159961887306072e-06,8.206408130826023,57004.394365455504,148239.23407056346,152032.03159557664,0.21527677730430772,56301261.1,56301261.1,2.741385466830013,0.21001788124215479,0.21527677730430772,,1.6412816261652048,214.56216378589946
Channel Partners,Germany, Montana , None ," $1,545.00 ", $5.00 , $12.00 ," $18,540.00 ", $-   ," $18,540.00 "," $4,635.00 "," $13,905.00 ",01-06-2014,6, June ,2014,451932000000.0,18540.0,57741765.6,169401484.1,21650268.98,56301261.1,57741765.6,26822106092.0,2007072058,2106298669.0,23.10638937,189.6204616,9095079532.0,7893296.385,960953087.8,14264413.47,9802913702.0,8514073074.0,2.801808066,0.3390889403242168,7.132794507373614,3.654683101,5.704228576,71.87123253,813321594.6,519642252.2,53375803.29,,,,24376051.779935274,311444.2588996764,687.2286563073104,596.8750900207887,67.36716443483742,4.318038873526914,0.8119607577564018,6.912208883376897e-07,8.206408130826023,116775.99234088456,303674.5474649407,311444.2588996764,0.21527677730430772,56301261.1,56301261.1,2.741385466830013,0.21001788124215479,0.21527677730430772,,1.6412816261652048,214.56216378589946
Midmarket,Mexico, Montana , None ," $2,470.00 ", $5.00 , $15.00 ," $37,050.00 ", $-   ," $37,050.00 "," $24,700.00 "," $12,350.00 ",01-06-2014,6, June ,2014,451932000000.0,37050.0,57741765.6,169401484.1,21650268.98,56301261.1,57741765.6,26822106092.0,2007072058,2106298669.0,23.10638937,189.6204616,9095079532.0,7893296.385,960953087.8,14264413.47,9802913702.0,8514073074.0,2.801808066,0.3390889403242168,7.132794507373614,3.654683101,5.704228576,71.87123253,813321594.6,519642252.2,53375803.29,,,,12197894.736842105,155848.22024291498,687.2286563073104,596.8750900207887,67.36716443483742,4.318038873526914,0.8119607577564018,1.3813232962735385e-06,8.206408130826023,58435.27390013495,151960.2188933873,155848.22024291498,0.21527677730430772,56301261.1,56301261.1,2.741385466830013,0.21001788124215479,0.21527677730430772,,1.6412816261652048,214.56216378589946
Enterprise,Canada, Montana , None ," $2,665.50 ", $5.00 , $125.00 ," $3,33,187.50 ", $-   ," $3,33,187.50 "," $3,19,860.00 "," $13,327.50 ",01-07-2014,7, July ,2014,451932000000.0,333187.5,57741765.6,169401484.1,21650268.98,56301261.1,57741765.6,26822106092.0,2007072058,2106298669.0,23.10638937,189.6204616,9095079532.0,7893296.385,960953087.8,14264413.47,9802913702.0,8514073074.0,2.801808066,0.3390889403242168,7.132794507373614,3.654683101,5.704228576,71.87123253,813321594.6,519642252.2,53375803.29,,,,1356389.4203714125,17330.111603826674,687.2286563073104,596.8750900207887,67.36716443483742,4.318038873526914,0.8119607577564018,1.242212296294574e-05,8.206408130826023,6497.923535546802,16897.771104858377,17330.111603826674,0.21527677730430772,56301261.1,56301261.1,2.741385466830013,0.21001788124215479,0.21527677730430772,,1.6412816261652048,214.56216378589946
Small Business,Mexico, Montana , None , $958.00 , $5.00 , $300.00 ," $2,87,400.00 ", $-   ," $2,87,400.00 "," $2,39,500.00 "," $47,900.00 ",01-08-2014,8, August ,2014,451932000000.0,287400.0,57741765.6,169401484.1,21650268.98,56301261.1,57741765.6,26822106092.0,2007072058,2106298669.0,23.10638937,189.6204616,9095079532.0,7893296.385,960953087.8,14264413.47,9802913702.0,8514073074.0,2.801808066,0.3390889403242168,7.132794507373614,3.654683101,5.704228576,71.87123253,813321594.6,519642252.2,53375803.29,,,,1572484.3423799581,20091.080584551146,687.2286563073104,596.8750900207887,67.36716443483742,4.318038873526914,0.8119607577564018,1.0715042249636032e-05,8.206408130826023,7533.1485664578995,19589.861203897006,20091.080584551146,0.21527677730430772,56301261.1,56301261.1,2.741385466830013,0.21001788124215479,0.21527677730430772,,1.6412816261652048,214.56216378589946
Government,Germany, Montana , None ," $2,146.00 ", $5.00 , $7.00 ," $15,022.00 ", $-   ," $15,022.00 "," $10,730.00 "," $4,292.00 ",01-09-2014,9, September ,2014,451932000000.0,15022.0,57741765.6,169401484.1,21650268.98,56301261.1,57741765.6,26822106092.0,2007072058,2106298669.0,23.10638937,189.6204616,9095079532.0,7893296.385,960953087.8,14264413.47,9802913702.0,8514073074.0,2.801808066,0.3390889403242168,7.132794507373614,3.654683101,5.704228576,71.87123253,813321594.6,519642252.2,53375803.29,,,,30084675.80881374,384381.34469444817,687.2286563073104,596.8750900207887,67.36716443483742,4.318038873526914,0.8119607577564018,5.60060419881811e-07,8.206408130826023,144123.74504060711,374792.04566635605,384381.34469444817,0.21527677730430772,56301261.1,56301261.1,2.741385466830013,0.21001788124215479,0.21527677730430772,,1.6412816261652048,214.56216378589946
Enterprise,Canada, Montana , None , $345.00 , $5.00 , $125.00 ," $43,125.00 ", $-   ," $43,125.00 "," $41,400.00 "," $1,725.00 ",01-10-2013,10, October ,2013,451932000000.0,43125.0,57741765.6,169401484.1,21650268.98,56301261.1,57741765.6,26822106092.0,2007072058,2106298669.0,23.10638937,189.6204616,9095079532.0,7893296.385,960953087.8,14264413.47,9802913702.0,8514073074.0,2.801808066,0.3390889403242168,7.132794507373614,3.654683101,5.704228576,71.87123253,813321594.6,519642252.2,53375803.29,,,,10479582.608695652,133893.94921739132,687.2286563073104,596.8750900207887,67.36716443483742,4.318038873526914,0.8119607577564018,1.6078155776463253e-06,8.206408130826023,50203.52227246377,130553.64892753624,133893.94921739132,0.21527677730430772,56301261.1,56301261.1,2.741385466830013,0.21001788124215479,0.21527677730430772,,1.6412816261652048,214.56216378589946
Midmarket,United States of America, Montana , None , $615.00 , $5.00 , $15.00 ," $9,225.00 ", $-   ," $9,225.00 "," $6,150.00 "," $3,075.00 ",01-12-2014,12, December ,2014,451932000000.0,9225.0,57741765.6,169401484.1,21650268.98,56301261.1,57741765.6,26822106092.0,2007072058,2106298669.0,23.10638937,189.6204616,9095079532.0,7893296.385,960953087.8,14264413.47,9802913702.0,8514073074.0,2.801808066,0.3390889403242168,7.132794507373614,3.654683101,5.704228576,71.87123253,813321594.6,519642252.2,53375803.29,,,,48989918.69918699,625926.9983739838,687.2286563073104,596.8750900207887,67.36716443483742,4.318038873526914,0.8119607577564018,3.439327235660835e-07,8.206408130826023,234691.26265582658,610311.7734417345,625926.9983739838,0.21527677730430772,56301261.1,56301261.1,2.741385466830013,0.21001788124215479,0.21527677730430772,,1.6412816261652048,214.56216378589946
Government,Canada, Paseo , None , $292.00 , $10.00 , $20.00 ," $5,840.00 ", $-   ," $5,840.00 "," $2,920.00 "," $2,920.00 ",01-02-2014,2, February ,2014,451932000000.0,5840.0,57741765.6,169401484.1,21650268.98,56301261.1,57741765.6,26822106092.0,2007072058,2106298669.0,23.10638937,189.6204616,9095079532.0,7893296.385,960953087.8,14264413.47,9802913702.0,8514073074.0,2.801808066,0.3390889403242168,7.132794507373614,3.654683101,5.704228576,71.87123253,813321594.6,519642252.2,53375803.29,,,,77385616.43835616,988728.8630136987,687.2286563073104,596.8750900207887,67.36716443483742,4.318038873526914,0.8119607577564018,2.1773085155836613e-07,8.206408130826023,370723.7839041096,964062.6900684932,988728.8630136987,0.21527677730430772,56301261.1,56301261.1,2.741385466830013,0.21001788124215479,0.21527677730430772,,1.6412816261652048,214.56216378589946
Midmarket,Mexico, Paseo , None , $974.00 , $10.00 , $15.00 ," $14,610.00 ", $-   ," $14,610.00 "," $9,740.00 "," $4,870.00 ",01-02-2014,2, February ,2014,451932000000.0,14610.0,57741765.6,169401484.1,21650268.98,56301261.1,57741765.6,26822106092.0,2007072058,2106298669.0,23.10638937,189.6204616,9095079532.0,7893296.385,960953087.8,14264413.47,9802913702.0,8514073074.0,2.801808066,0.3390889403242168,7.132794507373614,3.654683101,5.704228576,71.87123253,813321594.6,519642252.2,53375803.29,,,,30933059.54825462,395220.84599589324,687.2286563073104,596.8750900207887,67.36716443483742,4.318038873526914,0.8119607577564018,5.44699955696529e-07,8.206408130826023,148188.0149212868,385361.1300479124,395220.84599589324,0.21527677730430772,56301261.1,56301261.1,2.741385466830013,0.21001788124215479,0.21527677730430772,,1.6412816261652048,214.56216378589946
Channel Partners,Canada, Paseo , None ," $2,518.00 ", $10.00 , $12.00 ," $30,216.00 ", $-   ," $30,216.00 "," $7,554.00 "," $22,662.00 ",01-06-2014,6, June ,2014,451932000000.0,30216.0,57741765.6,169401484.1,21650268.98,56301261.1,57741765.6,26822106092.0,2007072058,2106298669.0,23.10638937,189.6204616,9095079532.0,7893296.385,960953087.8,14264413.47,9802913702.0,8514073074.0,2.801808066,0.3390889403242168,7.132794507373614,3.654683101,5.704228576,71.87123253,813321594.6,519642252.2,53375803.29,,,,14956711.675933281,191096.656076251,687.2286563073104,596.8750900207887,67.36716443483742,4.318038873526914,0.8119607577564018,1.1265334607341766e-06,8.206408130826023,71651.67123378343,186329.2993778131,191096.656076251,0.21527677730430772,56301261.1,56301261.1,2.741385466830013,0.21001788124215479,0.21527677730430772,,1.6412816261652048,214.56216378589946
Government,Germany, Paseo , None ," $1,006.00 ", $10.00 , $350.00 ," $3,52,100.00 ", $-   ," $3,52,100.00 "," $2,61,560.00 "," $90,540.00 ",01-06-2014,6, June ,2014,451932000000.0,352100.0,57741765.6,169401484.1,21650268.98,56301261.1,57741765.6,26822106092.0,2007072058,2106298669.0,23.10638937,189.6204616,9095079532.0,7893296.385,960953087.8,14264413.47,9802913702.0,8514073074.0,2.801808066,0.3390889403242168,7.132794507373614,3.654683101,5.704228576,71.87123253,813321594.6,519642252.2,53375803.29,,,,1283533.0871911389,16399.251803464926,687.2286563073104,596.8750900207887,67.36716443483742,4.318038873526914,0.8119607577564018,1.3127231649606288e-05,8.206408130826023,6148.897750639024,15990.1337972167,16399.251803464926,0.21527677730430772,56301261.1,56301261.1,2.741385466830013,0.21001788124215479,0.21527677730430772,,1.6412816261652048,214.56216378589946
Channel Partners,Germany, Paseo , None , $367.00 , $10.00 , $12.00 ," $4,404.00 ", $-   ," $4,404.00 "," $1,101.00 "," $3,303.00 ",01-07-2014,7, July ,2014,451932000000.0,4404.0,57741765.6,169401484.1,21650268.98,56301261.1,57741765.6,26822106092.0,2007072058,2106298669.0,23.10638937,189.6204616,9095079532.0,7893296.385,960953087.8,14264413.47,9802913702.0,8514073074.0,2.801808066,0.3390889403242168,7.132794507373614,3.654683101,5.704228576,71.87123253,813321594.6,519642252.2,53375803.29,,,,102618528.61035423,1311120.9264305178,687.2286563073104,596.8750900207887,67.36716443483742,4.318038873526914,0.8119607577564018,1.6419292299024735e-07,8.206408130826023,491604.6544050863,1278411.9232515895,1311120.9264305178,0.21527677730430772,56301261.1,56301261.1,2.741385466830013,0.21001788124215479,0.21527677730430772,,1.6412816261652048,214.56216378589946
